id,source,intent,incoming_email,ground_truth_reply,gold_requirements,must_include,must_not_include,generated_reply,retrieved_examples,intent_fulfillment_score,intent_fulfillment_reasoning,constraint_adherence_score,constraint_adherence_reasoning,missing_must_include,present_must_not_include,overall_score
CS-000034,copilot,Feature Requests,Would love calendar integration so file deadlines sync to Google Calendar automatically.,"Hi Janine,

Great idea—thanks for sharing the use case.

I logged this as feature request FR-12046 (deadline sync to Google Calendar). I can’t promise a release timeline, but your workflow details are now attached for product review.

Current alternative: automate date-based actions via API/webhooks + your existing calendar automation tooling.

If you’d like, I can capture your preferred trigger fields to improve the request quality.

Best,
Alex
Support Specialist","[""Thank customer"", ""log feature"", ""no promises"", ""offer current alternatives""]","[""feature request logged"", ""integration""]","[""promise launch quarter""]","Hi,

Thanks so much for sharing your idea for a Google Calendar integration! A feature that syncs deadlines to Google Calendar is a great idea, and I've logged it as a feature request under FR-2334 so our product team sees the interest.

Right now, our existing integrations cover Slack, Microsoft Teams, Zapier, and Google Workspace (for file access, not calendar syncing specifically) - you can see the full list at https://cloudsync.com/integrations.

I appreciate you taking the time to suggest it, and I'll keep an eye on this feature request for any updates in the future!

Best,
Alex
Support Specialist, CloudSync","[{""incoming_email"": ""Would be awesome if CloudSync could integrate with Google Calendar so file deadlines/reminders could show up there automatically! Loving the product overall btw :)"", ""similarity"": 0.8040232062339783, ""intent"": ""Feature Requests""}, {""incoming_email"": ""THIS IS UNACCEPTABLE. Our entire conveyancing team has been unable to sync case files since yesterday afternoon. The desktop app just sits at \""Syncing 214 items\"" and never finishes. We are on Windows 11, CloudSync Desktop v4.12.1. We have court deadlines TOMORROW and cannot access updated documents. I need someone to call me immediately. This is costing us real money and putting client matters at risk.\n\nDavid Whitfield\nSenior Partner, Whitfield & Combe Solicitors"", ""similarity"": 0.39340806007385254, ""intent"": ""Technical Bugs""}, {""incoming_email"": ""Hello,\nMy class project account says trial expired and now I can’t upload lecture files over 2GB. I thought students got auto extension?"", ""similarity"": 0.3485628366470337, ""intent"": ""Billing""}]",4,"The reply acknowledges the customer's idea, logs the feature request, and provides current alternatives, but does not explicitly offer to capture the customer's preferred trigger fields.",4,"The reply includes the feature request logged and integration, but does not provide a link to the full list of integrations, and the mention of Google Workspace is not entirely accurate.","[""offer to capture preferred trigger fields""]","[""promise launch quarter""]",4.0
CS-000035,copilot,Technical Bugs,We found users outside Finance group can open /Finance/Payroll unexpectedly. This is a compliance incident. Need immediate manager escalation.,"Hi Erica,

Thank you for alerting us immediately. We’re treating this as a security incident.

I’ve escalated under SEC-INC-7742 and notified the on-call manager and engineering team.

Immediate containment:
- Temporarily remove external/non-finance shares on affected paths
- Reapply least-privilege permissions at parent + child folders
- Preserve audit logs (do not delete)

Please send:
- Exact affected folder paths
- User emails that gained unintended access
- First known timestamp

We’ll provide prioritized updates while investigation proceeds.

Best,
Alex
Support Specialist","[""Acknowledge severity"", ""treat as security incident"", ""immediate escalation"", ""request affected paths and users"", ""provide containment steps""]","[""ticket ID"", ""security incident""]","[""downplay unauthorized access""]","Hi Rachel,

Understood—this is a compliance incident that requires immediate attention.

I've escalated this to the manager response queue for a prompt review and resolution.

To ensure a swift resolution, I'll also engage our compliance team to assist in identifying the root cause and implementing necessary access controls.

We'll keep your compliance timeline in view and provide regular updates on the status of this incident.

Best,
Alex
Support Specialist","[{""incoming_email"": ""Need manager escalation: Fortune 100 client security questionnaire due in 48 hours."", ""similarity"": 0.465088427066803, ""intent"": ""Enterprise Administration""}, {""incoming_email"": ""Regulator audit next month. Need evidence package for access controls + incident response."", ""similarity"": 0.4533980190753937, ""intent"": ""Security & Compliance""}, {""incoming_email"": ""My account got locked after repeated login attempts on mobile. Need immediate unlock for payroll docs."", ""similarity"": 0.427744060754776, ""intent"": ""Account Management""}]",4,"The reply acknowledges severity, treats it as a security incident, and requests affected paths and users, but does not explicitly mention immediate escalation or containment steps.",3,"The reply does not include a ticket ID or explicitly mention a security incident, but does not downplay unauthorized access.","[""ticket ID"", ""security incident""]","[""downplay unauthorized access""]",3.5
CS-000036,copilot,Random Miscellaneous,I thought CloudSync sends newsletters—am I in the wrong product?,"Hi Mia,

You’re not alone—happy to clarify.

CloudSync is a cloud collaboration platform focused on storage, file sharing, permissions, version history, and team collaboration workflows. It isn’t a newsletter delivery platform.

Overview:
https://docs.cloudsync.com/get-started/overview

If you share your goal, I can suggest which CloudSync features might still help.

Best,
Alex
Support Specialist","[""Clarify product scope"", ""be courteous"", ""suggest relevant feature docs""]","[""cloud collaboration platform"", ""file sharing""]","[""invent unrelated capabilities""]","Hi,

CloudSync doesn't send regular newsletters, but we do occasionally send targeted emails to users about new features, security updates, or tips to get the most out of the product. If you're not seeing these emails, it might be because your account settings are set to only receive notifications about specific topics (like new file uploads or password reset attempts).

To check your notification settings, go to Account Settings > Notifications. You can adjust the types of emails you receive from there.

Best,
Alex
Support Specialist, CloudSync","[{""incoming_email"": ""Would be awesome if CloudSync could integrate with Google Calendar so file deadlines/reminders could show up there automatically! Loving the product overall btw :)"", ""similarity"": 0.5174666047096252, ""intent"": ""Feature Requests""}, {""incoming_email"": ""Quick one: does CloudSync integrate with Slack/Teams/Google Workspace?"", ""similarity"": 0.4923064708709717, ""intent"": ""Random Miscellaneous""}, {""incoming_email"": ""Good morning, I recently switched from my personal Gmail to my organization's email address and would like to update my CloudSync account accordingly. Could you please guide me through the process? Thank you for your time. Kind regards, Ananya Rao, Prerna Foundation"", ""similarity"": 0.4599243104457855, ""intent"": ""Account Management""}]",1,"Evaluation failed: Expecting ',' delimiter: line 7 column 64 (char 544)",1,"Evaluation failed: Expecting ',' delimiter: line 7 column 64 (char 544)","[""cloud collaboration platform"", ""file sharing""]",[],1.0
CS-000037,copilot,Technical Bugs,@mentions in comments stopped emailing me since last week. In-app bell shows some but email nothing.,"Hi Louis,

Thanks for reporting this—missed mention alerts can impact collaboration.

I opened engineering ticket CS-ENG-48577.

Please send 2 sample comment URLs and timestamps where mention emails were expected but not received. Also confirm your notification settings are still enabled for mentions.

Temporary check: monitor in-app notification center while we verify mail event processing.

Best,
Alex
Support Specialist","[""Acknowledge missed notifications"", ""open ticket"", ""ask for examples"", ""offer temporary checks""]","[""ticket ID"", ""notification settings""]","[""assume user disabled alerts without checking""]","Hi,

I'm glad to hear that the @mentions in comments are working again, but sorry to hear that it stopped emailing you at the same time.

To confirm this is a change in behavior rather than a temporary issue, could you check your email inbox for the past week and see if there were any emails from CloudSync notifications that you're not seeing in the in-app bell? If you are missing emails, it might be related to a setting or filter in your email client.

In the meantime, as a precautionary measure, you can try adding our notification email address (no-reply@cloudsync.com) to your safe senders list or promotions folder, to ensure future notifications don't get filtered out.

Let me know what you find, and I'll help you troubleshoot further.

Best,
Alex
Support Specialist, CloudSync","[{""incoming_email"": ""I am getting like 5 emails every time ANYONE comments on ANY file in my shared folder, even ones I'm not tagged in. I already turned off \""all activity\"" notifications in settings and turned on only \""@mentions\"" but it's still flooding my inbox. Please make it stop."", ""similarity"": 0.48209860920906067, ""intent"": ""Technical Bugs""}, {""incoming_email"": ""Hi team, I forgot my password and reset emails aren’t showing up. Could you help?"", ""similarity"": 0.4003089666366577, ""intent"": ""Account Management""}, {""incoming_email"": ""Can someone just call me? Email is too slow."", ""similarity"": 0.3320137560367584, ""intent"": ""Random Miscellaneous""}]",3,"The reply acknowledges the issue, but does not directly address the customer's concern about missing emails and does not open a ticket as required.",4,"The reply does not assume the user disabled alerts without checking, but it does not include the ticket ID and notification settings as required.","[""ticket ID"", ""notification settings""]","[""assumed user disabled alerts without checking""]",3.5
CS-000043,copilot,Performance Issues,API p95 latency jumped from 220ms to 1.8s since 10:40 UTC on /api/v2/files/list. Need RCA for execs.,"Hi Scott,

Thanks for the precise metrics.

I opened high-priority performance case CS-ENG-48658 for latency analysis on /api/v2/files/list.

Please share 3–5 sample request IDs from the elevated period and region of origin. We’ll correlate edge, auth, and storage timings and provide findings as soon as available.

I can’t provide an RCA immediately, but I’ll share interim observations once engineering completes first-pass trace review.

Best,
Alex
Support Specialist","[""Acknowledge urgency"", ""open performance ticket"", ""request concrete metrics"", ""avoid outage claim without confirmation""]","[""ticket ID"", ""latency""]","[""guarantee immediate fix""]","Hi Rohan,

Thanks for bringing this latency spike to our attention. I've opened performance case CS-ENG-50561 to investigate the sudden increase in API latency on the /api/v2/files/list endpoint.

To help with root cause analysis (RCA), please share:
- Average request payload size (bytes)
- Number of concurrent requests during the spike
- Any recent changes to your application or workflow that may have impacted API usage

In the meantime, consider:
- Implementing rate limiting for your application to prevent overwhelming the API
- Testing with a smaller payload size to gauge performance
- Monitoring API calls for any other unusual patterns

I'll keep you updated on our progress and provide a detailed RCA once engineering has completed their analysis.

Best,
Alex
Support Specialist","[{""incoming_email"": ""Bulk API uploads returning 500 since 14:02 UTC. Request IDs: r-77a1, r-77a2, r-77a8. Blocking nightly ingest."", ""similarity"": 0.32816994190216064, ""intent"": ""Technical Bugs""}, {""incoming_email"": ""CloudSync web is painfully slow loading folders >5k items in Firefox 128 on Ubuntu. 15-20 sec each click. Is this an outage?"", ""similarity"": 0.32238781452178955, ""intent"": ""Performance Issues""}, {""incoming_email"": ""Desktop client pegs CPU at 90% and sync crawls after adding 40k small files."", ""similarity"": 0.31322014331817627, ""intent"": ""Performance Issues""}]",4,"The reply acknowledges urgency, opens a performance ticket, and requests concrete metrics, but does not explicitly request sample request IDs from the elevated period and region of origin.",4,"The reply includes everything in MUST INCLUDE and avoids everything in MUST NOT INCLUDE, but includes a suggestion to implement rate limiting and testing with a smaller payload size, which is not explicitly requested.","[""ticket ID"", ""latency""]","[""guarantee immediate fix"", ""implement rate limiting"", ""testing with a smaller payload size""]",4.0
CS-000044,copilot,Billing,Please tell me where to cancel so I don’t get billed again next month.,"Hi Colin,

You can cancel from Admin Dashboard → Billing → Plan → Cancel Subscription.

After cancellation, paid features remain available until the current billing period ends.

If needed, export your files before plan changes:
https://docs.cloudsync.com/storage/export-data

Billing guide:
https://docs.cloudsync.com/billing/cancel-subscription

Best,
Alex
Support Specialist","[""Provide cancellation steps"", ""clarify access until period end"", ""offer data export link""]","[""Billing page"", ""cancel subscription""]","[""threatening tone""]","Hi,

You can cancel in Admin Dashboard → Billing → Plan → Cancel Subscription.

Charges stop after the current billing period ends (no further renewal after cancellation is confirmed).

Guide:
https://docs.cloudsync.com/billing/cancel-subscription

You may also want to download needed invoices before period end.

Best,
Alex
Support Specialist","[{""incoming_email"": ""Please confirm cancellation path and when charges stop."", ""similarity"": 0.666298508644104, ""intent"": ""Billing""}, {""incoming_email"": ""Hi CloudSync,\nI’m seeing two charges on my Amex for the same Pro plan renewal on June 28, 2026. Invoice says INV-774193 and my subscription ID is sub_9f2ab1. Please reverse one of them today—we’re a small studio and cash is tight.\n\n- Mila Harper, Northlight Apps"", ""similarity"": 0.467864990234375, ""intent"": ""Billing""}, {""incoming_email"": ""Getting emails saying our payment failed for subscription SUB-41207. Card should be fine, we use it for everything else. How much time do we have before you cut off our access? We can't have downtime right now."", ""similarity"": 0.45849353075027466, ""intent"": ""Billing""}]",4,"The reply provides cancellation steps, clarifies access until period end, and offers data export link, but lacks the explicit mention of paid features remaining available until the current billing period ends.",5,The reply includes all MUST INCLUDE items and avoids all MUST NOT INCLUDE items.,"[""clarify access until period end (paid features remaining available)""]",[],4.5
CS-000045,copilot,How-To,Need quick start for API auth. Where do I generate token and what header format?,"Hi Daryl,

Quick start:
1) Go to Account Settings → Developer → API Tokens
2) Create token and copy it once
3) Send it in Authorization header per docs

API docs:
https://docs.cloudsync.com/api/authentication
https://docs.cloudsync.com/api/quickstart

Please store tokens in a secret manager and never share them in email or code repos.

Best,
Alex
Support Specialist","[""Provide token creation steps"", ""mention secure storage"", ""show auth header format"", ""link quickstart""]","[""API token"", ""Authorization header""]","[""ask user to post secrets""]","Hi,

To generate an API token, head to Developer Settings > API Tokens. There, you can create a new token with the desired permissions (e.g., file:read, file:write, etc.). Make sure to copy the token securely.

For the Authorization header, use the format:
Authorization: Bearer <your_token>

Replace <your_token> with the actual token you generated. This should be included in every API request.

Full API reference, including authentication details, is here: https://docs.cloudsync.com/api/authentication

Best,
Alex
Support Specialist, CloudSync","[{""incoming_email"": ""Can I get invoice from 2025 and also where do I find API docs and also why my login failed once yesterday?"", ""similarity"": 0.4215485453605652, ""intent"": ""Random Miscellaneous""}, {""incoming_email"": ""Hey, I'm building an integration using the CloudSync API and keep getting a 401 Unauthorized on POST /v1/files/upload even though I generated a fresh access token from the developer dashboard 10 minutes ago. Here's the response:\n\n{\""error\"":\""invalid_token\"",\""request_id\"":\""req_44210x\""}\n\nAny idea what's going on? Also, is there a rate limit I should know about for bulk uploads?"", ""similarity"": 0.3800714910030365, ""intent"": ""API & Developer Support""}, {""incoming_email"": ""Hi there, I'd like to set up two-factor authentication on my account for extra security. Could you walk me through the steps? Thanks in advance!"", ""similarity"": 0.2931269109249115, ""intent"": ""How-To""}]",4,"The reply effectively resolves the customer's problem by providing token creation steps, auth header format, and linking the quickstart, but it lacks explicit mention of secure storage.",4,"The reply includes all MUST INCLUDE items (API token, Authorization header) and avoids all MUST NOT INCLUDE items (asking user to post secrets), but it does not explicitly mention secure storage.","[""mention of secure storage""]",[],4.0
CS-000047,copilot,Enterprise Administration,We need custom retention wording in MSA before renewal. Who handles this on your side?,"Hi Owen,

Thanks for reaching out.

For Enterprise plans, custom contract requests are supported and handled by our contracts team. I’ve initiated that handoff and noted your renewal dependency.

We’ll coordinate review of proposed retention wording and respond through the formal redline process.

Reference:
https://docs.cloudsync.com/compliance/contracts

Best,
Alex
Support Specialist","[""Acknowledge contract need"", ""state enterprise custom contract policy"", ""route to contracts"", ""set next step""]","[""Enterprise customers may request custom contracts"", ""contracts team""]","[""guarantee acceptance of all terms""]","Hi there,

Our contracts team handles custom retention wording in Master Service Agreements (MSA). I'll have them reach out to discuss your requirements and finalize the updated MSA before your renewal.

Best,
Alex
Support Specialist","[{""incoming_email"": ""Replying to old ticket #88421 — where can we set audit log retention and export by event category?"", ""similarity"": 0.3334004878997803, ""intent"": ""Enterprise Administration""}, {""incoming_email"": ""Hi CloudSync,\nI’m seeing two charges on my Amex for the same Pro plan renewal on June 28, 2026. Invoice says INV-774193 and my subscription ID is sub_9f2ab1. Please reverse one of them today—we’re a small studio and cash is tight.\n\n- Mila Harper, Northlight Apps"", ""similarity"": 0.3277197480201721, ""intent"": ""Billing""}, {""incoming_email"": ""Need exact rollout plan to enforce MFA org-wide with minimal disruption."", ""similarity"": 0.3275865614414215, ""intent"": ""How-To""}]",4,"The reply acknowledges the contract need, states the enterprise custom contract policy, and routes to the contracts team, but does not explicitly mention the next step in the process.",4,"The reply includes all MUST INCLUDE items, but does not explicitly mention the formal redline process as the next step.","[""state enterprise custom contract policy (in a more detailed manner)""]",[],4.0
CS-000052,copilot,How-To,What’s the easiest way to export everything as backup before graduation?,"Hi Aaliyah,

Great idea to back up before graduation.

You can export data by:
- Downloading folders from web app
- Using desktop app to sync a full local copy

Guide:
https://docs.cloudsync.com/storage/export-data

For larger datasets, desktop sync is usually the most reliable method.

Best,
Alex
Support Specialist","[""Give export options"", ""mention possible size constraints"", ""include docs""]","[""Export data"", ""download""]","[""promise instant export for huge datasets""]","Hi,

Congratulations on your graduation.

You can export everything as a backup under Admin Dashboard > Data Management > Export All Data, which packages all your files and folders into downloadable zip archives split by folder for easier handling.

For an account of your size, the packaging process typically takes several hours before the download links are ready - you'll get an email notification once it's complete, so there's no need to keep the page open and wait.

Full details here: https://docs.cloudsync.com/admin/data-export

Let me know if the export doesn't complete within 24 hours and I'll look into it.

Best,
Alex
Support Specialist, CloudSync","[{""incoming_email"": ""As part of our annual data backup policy, I need to export all files and folders from our CloudSync Business account (approximately 2.1 TB across ~40,000 files). What's the process for a full bulk export, and how long should we expect it to take?"", ""similarity"": 0.5306627750396729, ""intent"": ""How-To""}, {""incoming_email"": ""Just started using CloudSync. Best way to import my old project folders from local drive?"", ""similarity"": 0.42734289169311523, ""intent"": ""How-To""}, {""incoming_email"": ""For an internal security review, I need to export the full audit log for our organization covering the last 90 days, including login events, file deletions, and permission changes. Where can I download this, and how far back does CloudSync retain audit data for Enterprise accounts?"", ""similarity"": 0.3421309292316437, ""intent"": ""Enterprise Administration""}]",4,"The reply effectively resolves the customer's problem by providing export options and mentioning possible size constraints, but it does not explicitly mention the guide.",4,"The reply includes all MUST INCLUDE items, but it does not explicitly mention the word 'download' and it includes a phrase that implies a promise of instant export for huge datasets.","[""mention the guide""]","[""promise instant export for huge datasets""]",4.0
CS-000057,copilot,Technical Bugs,"Uploads from desktop app stay ""pending"" forever. macOS + app 5.8.9. Web upload works.","Hi Jules,

Thanks for sharing this detail.

I opened engineering ticket CS-ENG-48842 for desktop upload queue stuck state.

Please send:
- Desktop app log bundle
- One sample file name/size
- Timestamp of latest pending attempt

Since web upload works, please use web temporarily for urgent items while we inspect desktop queue processing.

Best,
Alex
Support Specialist","[""Acknowledge frustration"", ""open ticket"", ""request logs/version"", ""offer workaround""]","[""ticket ID"", ""log bundle""]","[""state issue resolved before confirmation""]","Hi,

That's frustrating to see uploads stuck in a pending state, especially when web uploads work. The desktop app's upload behavior can sometimes be affected by underlying macOS or system-level issues.

To troubleshoot this further, I'd like to ask: Have you tried restarting the CloudSync desktop app or even your macOS machine to see if that resolves the issue? Also, could you please check the CloudSync app's logs for any specific error messages related to the pending upload? You can find the logs at ~/Library/Application Support/CloudSync/logs.

If the issue persists, I'd recommend upgrading to the latest desktop app version (5.9.0) and see if that resolves the pending upload issue. If not, please let me know and I'll escalate to engineering to check for any app-side or system-level issues.

Best,
Alex
Support Specialist, CloudSync","[{""incoming_email"": ""Every time I try to upload a video file over 2GB through the web browser it fails right at 99% with a generic \""Upload failed\"" message. Tried Chrome and Firefox, same result both times. This is really frustrating because I'm on a deadline for a client delivery."", ""similarity"": 0.5398873090744019, ""intent"": ""Technical Bugs""}, {""incoming_email"": ""No greeting. Uploads failing in Chrome 127 with 403 on /api/v2/files/upload to folder /Q3-Merch/Final. Started yesterday. Others in same team can upload."", ""similarity"": 0.517922580242157, ""intent"": ""Technical Bugs""}, {""incoming_email"": ""Bulk API uploads returning 500 since 14:02 UTC. Request IDs: r-77a1, r-77a2, r-77a8. Blocking nightly ingest."", ""similarity"": 0.480132520198822, ""intent"": ""Technical Bugs""}]",3,"The reply acknowledges frustration and offers troubleshooting steps, but does not escalate to engineering or provide a clear workaround as the ground-truth reply does.",4,"The reply includes the MUST INCLUDE items (ticket ID is implied, but not explicitly stated) and log bundle, but does not explicitly state the ticket ID and includes a MUST NOT INCLUDE item (state issue resolved before confirmation) in the form of suggesting an upgrade to resolve the issue.","[""ticket ID (explicitly stated)""]","[""state issue resolved before confirmation (implied)""]",3.5
CS-000060,copilot,How-To,I can’t find Admin Dashboard anywhere. Did you remove it?,"Hi Lila,

Most likely this is role-based visibility. Admin Dashboard appears only for accounts with admin permissions.

If you’re a member role, ask a workspace admin to grant appropriate access.

Guide:
https://docs.cloudsync.com/admin/roles-permissions

If you believe your role is already admin, share a screenshot and I’ll check further.

Best,
Alex
Support Specialist","[""Explain likely role cause"", ""give resolution path"", ""mention admin invite""]","[""admin role"", ""permissions""]","[""claim bug before role check""]","Hi,

The Admin Dashboard was actually relocated to a new section within the CloudSync web app. To access it, go to the top navigation menu, click on your profile picture or initials, and select ""Organization Settings"" from the dropdown menu. This should take you directly to the Admin Dashboard.

If you're still having trouble finding it, I can provide you with a step-by-step guide or a link to our documentation.

Best,
Alex
Support Specialist, CloudSync","[{""incoming_email"": ""I accidentally deleted a folder. Where is the restore button?"", ""similarity"": 0.37293219566345215, ""intent"": ""How-To""}, {""incoming_email"": ""This doesn't make sense - I set my intern's account to \""Viewer\"" on our /Marketing/2026-Campaigns folder but he was still able to edit and even delete a file inside it yesterday. I definitely set it to Viewer, I checked twice. Is this a bug or am I missing something?"", ""similarity"": 0.34546351432800293, ""intent"": ""Technical Bugs""}, {""incoming_email"": ""sorry if this is a dumb question but i accidentally deleted a whole folder of my thesis notes yesterday??? is there any way to get it back i am panicking a little"", ""similarity"": 0.33734798431396484, ""intent"": ""How-To""}]",2,"The reply does not address the customer's concern about the Admin Dashboard's disappearance, and instead provides a misleading relocation explanation.",3,"The reply does not include the required explanation of likely role cause, resolution path, or mention of admin invite, but does not claim a bug before role check.","[""explain likely role cause"", ""resolution path"", ""mention admin invite""]","[""claim bug before role check""]",2.5
CS-000070,copilot,API & Developer Support,Our integration started returning 401 on /api/v2/webhooks/create after key rotation.,"Hi Yvette,

Thanks for the report.

HTTP 401 after key rotation usually points to token validity, scope, or header formatting.

Please verify:
- New token is active (old token revoked)
- Authorization header format matches docs
- Token has required scope for webhook creation
- No whitespace/newline in secret env var

Docs:
https://docs.cloudsync.com/api/authentication
https://docs.cloudsync.com/api/webhooks

Share request timestamp + request ID (not token) and I can review server auth logs.

Best,
Alex
Support Specialist","[""Acknowledge issue"", ""list likely causes"", ""provide checklist"", ""request safe diagnostics""]","[""HTTP 401"", ""token scope""]","[""request raw token""]","Hi,

Thanks for reporting this - key rotation is a good practice, and I'm happy to help you get back up and running.

A 401 on /api/v2/webhooks/create after key rotation usually means the new API key wasn't included with the request. Make sure the new key is included in the Authorization header with the ""Bearer "" prefix, like this: Authorization: Bearer <your_new_key>

If you're still having trouble, double-check that the key is being sent in the correct header and that there are no typos in the key itself.

On a related note: after key rotation, the previous API key will be deactivated after 24 hours - this is to prevent any accidental use of the old key.

If you're still stuck, send the exact error message and any Request ID shown on error, and I'll dig in further.

Best,
Alex
Support Specialist, CloudSync","[{""incoming_email"": ""Hey, I'm building an integration using the CloudSync API and keep getting a 401 Unauthorized on POST /v1/files/upload even though I generated a fresh access token from the developer dashboard 10 minutes ago. Here's the response:\n\n{\""error\"":\""invalid_token\"",\""request_id\"":\""req_44210x\""}\n\nAny idea what's going on? Also, is there a rate limit I should know about for bulk uploads?"", ""similarity"": 0.4975765645503998, ""intent"": ""API & Developer Support""}, {""incoming_email"": ""Sign in with Google keeps bouncing back to login page. Chrome on Windows 10. One-time saw 401 invalid_client."", ""similarity"": 0.41944023966789246, ""intent"": ""Authentication""}, {""incoming_email"": ""We're building an internal automation on top of the CloudSync API and noticed webhooks are only available at the account level, not per-folder. This means we get flooded with events for folders we don't care about. Any plans to support folder-scoped webhook subscriptions? This would significantly reduce our processing overhead."", ""similarity"": 0.39010417461395264, ""intent"": ""API & Developer Support""}]",4,"The reply acknowledges the issue, lists likely causes, provides a checklist, and requests safe diagnostics, but does not explicitly mention token scope.",4,"The reply includes everything in MUST INCLUDE, but does not explicitly mention token scope, and does not include any items in MUST NOT INCLUDE.","[""token scope""]",[],4.0
CS-000073,copilot,Billing,Need INV for June 2026 close. Where exactly in UI?,"Hi Farah,

Go to Admin Dashboard → Billing → Invoices, then select June 2026 and click Download PDF.

Invoices are downloadable from the Billing page for users with admin/billing permissions.

Guide:
https://docs.cloudsync.com/billing/invoices

Best,
Alex
Support Specialist","[""Provide direct steps"", ""mention role permissions"", ""offer help if missing""]","[""Invoices downloadable from Billing page"", ""billing role""]","[""send unofficial invoice""]","Hi Rohan,

You can download invoices directly from the Billing page. 

Steps:
1) Sign in as an admin or billing role
2) Go to Admin Dashboard → Billing → Invoices
3) Select June 2026 and click Download PDF

Guide: https://docs.cloudsync.com/billing/invoices

If you don’t see the invoice tab, your role may not have billing permissions—happy to help verify access.

Best,
Alex
Support Specialist","[{""incoming_email"": ""Can I get invoice from 2025 and also where do I find API docs and also why my login failed once yesterday?"", ""similarity"": 0.4580005407333374, ""intent"": ""Random Miscellaneous""}, {""incoming_email"": ""Finance request: where do I download May 2026 invoice PDF for account MedAxis Collaborative? Need it for close by 4 PM ET."", ""similarity"": 0.4344775378704071, ""intent"": ""Billing""}, {""incoming_email"": ""Need old revision from Monday and history panel is blank. Deadline in 2 hours."", ""similarity"": 0.3678366541862488, ""intent"": ""Technical Bugs""}]",5,"The reply provides direct steps, mentions role permissions, and offers help if missing, effectively resolving the customer's problem.",5,"The reply includes all MUST INCLUDE items and avoids all MUST NOT INCLUDE items, adhering to the constraints.",[],[],5.0
CS-000074,copilot,Technical Bugs,Slack integration stopped posting file comment alerts since Friday. No config changes on our side.,"Hi Marco,

Thanks for reporting this.

I opened ticket CS-ENG-49071 for missing Slack comment alerts.

Please share workspace integration ID and one comment URL/time that should have posted.

Workaround: reauthorize the Slack integration and verify target channel mapping while we inspect event delivery.

Best,
Alex
Support Specialist","[""Acknowledge issue"", ""open ticket"", ""request integration IDs"", ""offer reauth workaround""]","[""ticket ID"", ""integration settings""]","[""claim Slack outage without evidence""]","Hi Marcus,

Thanks for reporting the issue with Slack integration not posting file comment alerts.

I've opened a ticket to investigate the potential cause of the disruption, CS-INT-12345. Can you please share:
- Your workspace ID
- The exact date and time (Friday) when the issue started
- Any relevant Slack logs or configuration changes made recently

In the meantime, I recommend checking the integration status in Workspace Settings > Integrations to ensure it's active and configured correctly.

Best,
Alex
Support Specialist","[{""incoming_email"": ""Editors intermittently get read-only behavior on project folders. Random 403 when saving comments."", ""similarity"": 0.39646923542022705, ""intent"": ""Technical Bugs""}, {""incoming_email"": ""My trial ended today and team comments are limited now. Why?"", ""similarity"": 0.35529112815856934, ""intent"": ""Billing""}, {""incoming_email"": ""Our reviewers work nights and keep asking for dark mode in the web app. Any ETA?"", ""similarity"": 0.3208368718624115, ""intent"": ""Feature Requests""}]",4,"The reply acknowledges the issue, opens a ticket, requests integration IDs, and offers a reauth workaround, but does not explicitly request a comment URL/time.",4,"The reply includes everything in MUST INCLUDE and avoids everything in MUST NOT INCLUDE, but includes a mention of 'disruption' which is not explicitly required.","[""request integration IDs (workspace integration ID and one comment URL/time)""]","[""claim Slack outage without evidence (not explicitly present, but 'disruption' implies a similar idea)""]",4.0
CS-000081,copilot,Technical Bugs,iPhone app won’t download files for offline use; spinner forever then fails. iOS 18.1.,"Hi Reese,

Sorry about the mobile download issue.

I opened engineering ticket CS-ENG-49164.

Please share:
- CloudSync iOS app version
- One file name/size
- Approx failure time

Workaround: access the file via web on desktop for urgent needs while we investigate offline download handling.

Best,
Alex
Support Specialist","[""Acknowledge inconvenience"", ""open ticket"", ""request app/device versions"", ""offer workaround""]","[""ticket ID"", ""iPhone app version""]","[""blame storage space without checking""]","Hi Alex,

Sorry for the frustration with file downloads in the iPhone app.

I opened ticket CS-ENG-53092 to investigate the iOS 18.1 behavior.

Please share:
- File name/size
- Failed attempt timestamp
- Any in-app error text

Workaround: try download via desktop client or alternate browser while engineering checks transfer logs.

Best,
Alex
Support Specialist","[{""incoming_email"": ""Downloads keep failing at ~80% in Edge Version 127.0.2651.86 on Windows 11. Same file works for coworker."", ""similarity"": 0.4053885042667389, ""intent"": ""Technical Bugs""}, {""incoming_email"": ""THIS IS UNACCEPTABLE. Our entire conveyancing team has been unable to sync case files since yesterday afternoon. The desktop app just sits at \""Syncing 214 items\"" and never finishes. We are on Windows 11, CloudSync Desktop v4.12.1. We have court deadlines TOMORROW and cannot access updated documents. I need someone to call me immediately. This is costing us real money and putting client matters at risk.\n\nDavid Whitfield\nSenior Partner, Whitfield & Combe Solicitors"", ""similarity"": 0.3735881745815277, ""intent"": ""Technical Bugs""}, {""incoming_email"": ""Every time I right-click a folder with >300 files, CloudSync for macOS crashes instantly. macOS 14.6, app 5.9.0. Started after last update."", ""similarity"": 0.32567739486694336, ""intent"": ""Technical Bugs""}]",4,"The reply acknowledges the customer's issue, opens a ticket, and offers a workaround, but does not explicitly request the iPhone app version.",4,"The reply includes everything in MUST INCLUDE except for the iPhone app version, and does not include anything in MUST NOT INCLUDE.","[""iPhone app version""]",[],4.0
